gameId,gameDate,season,homeTeam,awayTeam,seriesId,round,gameNumber,homeWin,gameLabel,gameSubLabel,homeScore,awayScore,homeSeed,awaySeed,matchupType,conference_home,conference_away,homeCourt
46700212,1968-03-23 19:00:00,1968,St. Louis Hawks,San Francisco Warriors,St. Louis Hawks_vs_San Francisco Warriors_vs_1968,2.0,2,True,West - Conf. Semifinals,,111,103,,,Conference Semifinals,,,False
46700242,1968-03-23 19:00:00,1968,New York Knicks,Philadelphia 76ers,New York Knicks_vs_Philadelphia 76ers_vs_1968,2.0,2,True,East - Conf. Semifinals,,128,117,,,Conference Semifinals,,,False
46700211,1968-03-22 19:00:00,1968,St. Louis Hawks,San Francisco Warriors,St. Louis Hawks_vs_San Francisco Warriors_vs_1968,2.0,1,False,West - Conf. Semifinals,,106,111,,,Conference Semifinals,,,False
46700241,1968-03-22 19:00:00,1968,Philadelphia 76ers,New York Knicks,Philadelphia 76ers_vs_New York Knicks_vs_1968,2.0,1,True,East - Conf. Semifinals,,118,110,,,Conference Semifinals,,,False
46600416,1967-04-24 19:00:00,1967,San Francisco Warriors,Philadelphia 76ers,San Francisco Warriors_vs_Philadelphia 76ers_vs_1967,4.0,6,False,NBA Finals,,122,125,,,NBA Finals,,,False
46600415,1967-04-23 19:00:00,1967,Philadelphia 76ers,San Francisco Warriors,Philadelphia 76ers_vs_San Francisco Warriors_vs_1967,4.0,5,False,NBA Finals,,109,117,,,NBA Finals,,,False
46600414,1967-04-20 19:00:00,1967,San Francisco Warriors,Philadelphia 76ers,San Francisco Warriors_vs_Philadelphia 76ers_vs_1967,4.0,4,False,NBA Finals,,108,122,,,NBA Finals,,,False
46600413,1967-04-18 19:00:00,1967,San Francisco Warriors,Philadelphia 76ers,San Francisco Warriors_vs_Philadelphia 76ers_vs_1967,4.0,3,True,NBA Finals,,130,124,,,NBA Finals,,,False
46600412,1967-04-16 19:00:00,1967,Philadelphia 76ers,San Francisco Warriors,Philadelphia 76ers_vs_San Francisco Warriors_vs_1967,4.0,2,True,NBA Finals,,126,95,,,NBA Finals,,,False
46600411,1967-04-14 19:00:00,1967,Philadelphia 76ers,San Francisco Warriors,Philadelphia 76ers_vs_San Francisco Warriors_vs_1967,4.0,1,True,NBA Finals,,141,135,,,NBA Finals,,,False
46600316,1967-04-12 19:00:00,1967,St. Louis Hawks,San Francisco Warriors,St. Louis Hawks_vs_San Francisco Warriors_vs_1967,3.0,6,False,West - Conf. Finals,,107,112,,,Conference Finals,,,False
46600325,1967-04-11 19:00:00,1967,Philadelphia 76ers,Boston Celtics,Philadelphia 76ers_vs_Boston Celtics_vs_1967,3.0,5,True,East - Conf. Finals,,140,116,,,Conference Finals,,,False
46600315,1967-04-10 19:00:00,1967,San Francisco Warriors,St. Louis Hawks,San Francisco Warriors_vs_St. Louis Hawks_vs_1967,3.0,5,True,West - Conf. Finals,,123,102,,,Conference Finals,,,False
46600204,1967-04-09 19:00:00,1967,Boston Celtics,Philadelphia 76ers,Boston Celtics_vs_Philadelphia 76ers_vs_1967,3.0,4,True,East - Conf. Finals,,121,117,,,Conference Finals,,,False
46600314,1967-04-08 19:00:00,1967,St. Louis Hawks,San Francisco Warriors,St. Louis Hawks_vs_San Francisco Warriors_vs_1967,3.0,4,True,West - Conf. Finals,,109,104,,,Conference Finals,,,False
46600313,1967-04-05 19:00:00,1967,St. Louis Hawks,San Francisco Warriors,St. Louis Hawks_vs_San Francisco Warriors_vs_1967,3.0,3,True,West - Conf. Finals,,115,109,,,Conference Finals,,,False
46600323,1967-04-05 19:00:00,1967,Philadelphia 76ers,Boston Celtics,Philadelphia 76ers_vs_Boston Celtics_vs_1967,3.0,3,True,East - Conf. Finals,,115,104,,,Conference Finals,,,False
46600322,1967-04-02 19:00:00,1967,Boston Celtics,Philadelphia 76ers,Boston Celtics_vs_Philadelphia 76ers_vs_1967,3.0,2,False,East - Conf. Finals,,102,107,,,Conference Finals,,,False
46600312,1967-04-01 19:00:00,1967,San Francisco Warriors,St. Louis Hawks,San Francisco Warriors_vs_St. Louis Hawks_vs_1967,3.0,2,True,West - Conf. Finals,,143,136,,,Conference Finals,,,False
46600321,1967-03-31 19:00:00,1967,Philadelphia 76ers,Boston Celtics,Philadelphia 76ers_vs_Boston Celtics_vs_1967,3.0,1,True,East - Conf. Finals,,127,113,,,Conference Finals,,,False
46600311,1967-03-30 19:00:00,1967,San Francisco Warriors,St. Louis Hawks,San Francisco Warriors_vs_St. Louis Hawks_vs_1967,3.0,1,True,West - Conf. Finals,,117,115,,,Conference Finals,,,False
46600234,1967-03-28 19:00:00,1967,New York Knicks,Boston Celtics,New York Knicks_vs_Boston Celtics_vs_1967,2.0,4,False,East - Conf. Semifinals,,109,118,,,Conference Semifinals,,,False
46600223,1967-03-26 19:00:00,1967,San Francisco Warriors,Los Angeles Lakers,San Francisco Warriors_vs_Los Angeles Lakers_vs_1967,2.0,3,True,West - Conf. Semifinals,,122,115,,,Conference Semifinals,,,False
